run,k,ke,d,drift_max,theta_rate,fig8_phase
ctrl_only,,,,2.1202828224970458e-08,1.3226988948566998e-10,1.3003723804158107
a0.6_b0.4_tau2.0_nu0.0,,,,2.14524501420428e-08,1.441586516826021e-10,1.3003723764431965
a0.6_b0.6_tau2.0_nu0.0,,,,2.14524501420428e-08,1.441586516826021e-10,1.3003723764431965
a0.6_b0.4_tau3.0_nu0.0,,,,2.15001538938022e-08,1.16650988868372e-10,1.3003723785280554
a0.6_b0.6_tau3.0_nu0.0,,,,2.15001538938022e-08,1.16650988868372e-10,1.3003723785280554
a0.4_b0.4_tau2.0_nu0.0,,,,2.155130248950732e-08,9.937040079677217e-11,1.3003723802079452
a0.4_b0.6_tau2.0_nu0.0,,,,2.155130248950732e-08,9.937040079677217e-11,1.3003723802079452
a0.4_b0.4_tau3.0_nu0.0,,,,2.1587550213581128e-08,7.99232957593432e-11,1.3003723736009252
a0.4_b0.6_tau3.0_nu0.0,,,,2.1587550213581128e-08,7.99232957593432e-11,1.3003723736009252
a0.2_b0.4_tau2.0_nu0.0,,,,2.1661191613872963e-08,5.145525672212159e-11,1.3003723779965102
a0.2_b0.6_tau2.0_nu0.0,,,,2.1661191613872963e-08,5.145525672212159e-11,1.3003723779965102
a0.2_b0.4_tau3.0_nu0.0,,,,2.1678894478247128e-08,4.1106407167035283e-11,1.300372386315272
a0.2_b0.6_tau3.0_nu0.0,,,,2.1678894478247128e-08,4.1106407167035283e-11,1.300372386315272
dtg_nu0.0,,,,2.1778927715421232e-08,8.464743350700132e-11,1.3003723811381
dtg_nu0.0,,,,2.1778927715421232e-08,8.464743350700132e-11,1.3003723811381
tune2_energyassist_knu0.05_knued0.2,,,,0.0063939803125992,0.00017968043678667778,1.5238130414119269
tune2_energyassist_knu0.0_knued0.2,,,,0.00678953469168,0.00019404909627693256,1.5235975073136152
dtg_ctrl,,,,0.0095765280342181,0.0003869479156773825,1.4292375197906746
tune3b_beta0.8_tau0.8_lyap_clamp,,,,0.0099972298482164,0.03869788951433906,1.521574355250709
tune3b_beta0.6_tau0.8_lyap_clamp,,,,0.0099972298592732,0.029098388429930754,1.5215743532162427
tune3b_beta0.6_tau1.0_lyap_clamp,,,,0.0099972298608255,0.029098372174826515,1.5215743552953915
tune3b_beta0.5_tau1.0_lyap_clamp,,,,0.0099972298644342,0.024298622265449186,1.5215743524116432
tune3b_beta0.8_tau1.0_lyap_clamp,,,,0.0099972298872794,0.03869786614780722,1.5215743557243961
tune3b_beta0.5_tau0.8_lyap_clamp,,,,0.0099972299191715,0.024298637763414732,1.5215743524488015
tune_dtg_reactive,,,,0.0127862856683494,0.0005171499200440743,1.6261078692411086
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.30_ke0.7_d0.10,0.3,0.7,0.1,0.0137094423666963,0.0004297481842973849,1.626644995465469
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.30_ke0.7_d0.05,0.3,0.7,0.05,0.0137094423666963,0.0004297481842973849,1.626644995465469
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.30_ke0.7_d0.08,0.3,0.7,0.08,0.0137094423666963,0.0004297481842973849,1.626644995465469
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.30_ke0.5_d0.10,0.3,0.5,0.1,0.0137366634687981,0.00043067222297161757,1.6265697106459314
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.30_ke0.5_d0.05,0.3,0.5,0.05,0.0137366634687981,0.00043067222297161757,1.6265697106459314
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.30_ke0.5_d0.08,0.3,0.5,0.08,0.0137366634687981,0.00043067222297161757,1.6265697106459314
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.30_ke0.3_d0.10,0.3,0.3,0.1,0.0137640505039201,0.00043162401687917295,1.626493963171351
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.30_ke0.3_d0.05,0.3,0.3,0.05,0.0137640505039201,0.00043162401687917295,1.626493963171351
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.30_ke0.3_d0.08,0.3,0.3,0.08,0.0137640505039201,0.00043162401687917295,1.626493963171351
tune2_energyassist_knu0.05_knued0.0,,,,0.0157447782173803,0.0004920052670412622,1.6221594932784216
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.20_ke0.7_d0.10,0.2,0.7,0.1,0.0184192338822339,0.0005673593866866222,1.617377641438803
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.20_ke0.7_d0.05,0.2,0.7,0.05,0.0184192338822339,0.0005673593866866222,1.617377641438803
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.20_ke0.7_d0.08,0.2,0.7,0.08,0.0184192338822339,0.0005673593866866222,1.617377641438803
tune2_energyassist_knu0.0_knued0.0,,,,0.0184629077115382,0.0005686761788848693,1.6173046963416118
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.20_ke0.5_d0.10,0.2,0.5,0.1,0.0184629077115382,0.0005686761788848693,1.6173046963416118
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.20_ke0.5_d0.05,0.2,0.5,0.05,0.0184629077115382,0.0005686761788848693,1.6173046963416118
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.20_ke0.5_d0.08,0.2,0.5,0.08,0.0184629077115382,0.0005686761788848693,1.6173046963416118
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.20_ke0.3_d0.10,0.2,0.3,0.1,0.0185068496439676,0.0005699910297521038,1.61723167886805
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.20_ke0.3_d0.05,0.2,0.3,0.05,0.0185068496439676,0.0005699910297521038,1.61723167886805
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.20_ke0.3_d0.08,0.2,0.3,0.08,0.0185068496439676,0.0005699910297521038,1.61723167886805
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.10_ke0.7_d0.08,0.1,0.7,0.08,0.0320592657860706,0.0009503484800647721,1.60638432805609
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.10_ke0.7_d0.05,0.1,0.7,0.05,0.0320592657860706,0.0009503484800647721,1.60638432805609
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.10_ke0.7_d0.10,0.1,0.7,0.1,0.0320592657860706,0.0009503484800647721,1.60638432805609
a0.6_b0.6_tau2.0_nu0.002,,,,0.032218874443862,0.0009546510652908402,1.606341368839899
a0.6_b0.4_tau2.0_nu0.002,,,,0.032218874443862,0.0009546510652908402,1.606341368839899
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.10_ke0.5_d0.08,0.1,0.5,0.08,0.032218874443862,0.0009546510652908402,1.606341368839899
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.10_ke0.5_d0.05,0.1,0.5,0.05,0.032218874443862,0.0009546510652908402,1.606341368839899
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.10_ke0.5_d0.10,0.1,0.5,0.1,0.032218874443862,0.0009546510652908402,1.606341368839899
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.10_ke0.3_d0.08,0.1,0.3,0.08,0.032380818083691,0.0009590092732844613,1.606298587771167
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.10_ke0.3_d0.05,0.1,0.3,0.05,0.032380818083691,0.0009590092732844613,1.606298587771167
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.10_ke0.3_d0.10,0.1,0.3,0.1,0.032380818083691,0.0009590092732844613,1.606298587771167
a0.6_b0.4_tau3.0_nu0.002,,,,0.0335314615743871,0.000990430906935319,1.6040470451356619
a0.6_b0.6_tau3.0_nu0.002,,,,0.0335314615743871,0.000990430906935319,1.6040470451356619
dtg_ctrl_only,,,,0.034126987460424,0.0010254252117312625,1.6659338899467464
a0.4_b0.6_tau2.0_nu0.002,,,,0.0431359573429609,0.0008336269239538174,1.6025763414539664
a0.4_b0.4_tau2.0_nu0.002,,,,0.0431359573429609,0.0008336269239538174,1.6025763414539664
a0.4_b0.4_tau3.0_nu0.002,,,,0.0448772710502924,0.0008492899563215916,1.6009682245803345
a0.4_b0.6_tau3.0_nu0.002,,,,0.0448772710502924,0.0008492899563215916,1.6009682245803345
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.05_ke0.7_d0.08,0.05,0.7,0.08,0.0502319054035537,0.0014386746677421403,1.6006612355135261
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.05_ke0.7_d0.05,0.05,0.7,0.05,0.0502319054035537,0.0014386746677421403,1.6006612355135261
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.05_ke0.7_d0.10,0.05,0.7,0.1,0.0502319054035537,0.0014386746677421403,1.6006612355135261
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.05_ke0.5_d0.08,0.05,0.5,0.08,0.0504294033543605,0.0014436288474920288,1.600639797492009
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.05_ke0.5_d0.05,0.05,0.5,0.05,0.0504294033543605,0.0014436288474920288,1.600639797492009
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.05_ke0.5_d0.10,0.05,0.5,0.1,0.0504294033543605,0.0014436288474920288,1.600639797492009
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.05_ke0.3_d0.05,0.05,0.3,0.05,0.0506287253591011,0.0014486247237223914,1.600618218683376
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.05_ke0.3_d0.08,0.05,0.3,0.08,0.0506287253591011,0.0014486247237223914,1.600618218683376
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.05_ke0.3_d0.10,0.05,0.3,0.1,0.0506287253591011,0.0014486247237223914,1.600618218683376
a0.2_b0.6_tau2.0_nu0.002,,,,0.059290746375334,0.0005584815012970423,1.598752719260828
a0.2_b0.4_tau2.0_nu0.002,,,,0.059290746375334,0.0005584815012970423,1.598752719260828
a0.2_b0.4_tau3.0_nu0.002,,,,0.0608668976267584,0.0005520595093183977,1.59794399753663
a0.2_b0.6_tau3.0_nu0.002,,,,0.0608668976267584,0.0005520595093183977,1.59794399753663
v3_spec,,,,0.077963580790784,0.04999999999999636,
dtg_nu0.002,,,,0.0848523132764095,0.0014479215757852602,1.5952619241758064
dtg_nu0.003,,,,0.1292176520299927,0.0022105288009678704,1.6321668663644733
dtg_light,,,,0.1292176520904897,0.02611623623809601,1.6321668663575761
v3_events,,,,0.1292176520995521,0.04999999999999865,
v3_base,,,,0.1292176520995521,0.04999999999999865,
dtg,,,,0.1292176524373577,0.04997692184013595,
dtg_nu0.01,,,,0.1783687428978818,0.005589300745032702,0.854008400323748
dtg_nu0.01,,,,0.1783687428978818,0.005589300745032702,0.854008400323748
final_candidate_v1,,,,0.265628911609317,0.004617073381318502,1.5372994962832545
dtg_visc_feedback,,,,0.3069402637735713,0.01574941153887517,2.077659117526134
dtg_nu0.01,,,,0.3340030898843558,0.015112085564869282,1.117841169469366
dtg_nu0.002,,,,0.3587717452550635,0.03659198424989759,0.9549769861696176
tune3_beta0.5_tau0.8_lyap,,,,0.3726567589171544,0.02183680276410046,1.242450923185504
dtg_nu0.0,,,,0.3726832595236712,0.020246003231559697,1.7288633904495285
tune3_beta0.5_tau1.0_lyap,,,,0.3752595027032311,0.021393867984642278,1.4736544245910925
dtg_react_v1,,,,0.397629190053078,0.014673835691474662,0.9340253593330492
tune3_beta0.6_tau0.8_lyap,,,,0.458442820446254,0.025992895119599766,1.6965644652807128
tune3_beta0.6_tau1.0_lyap,,,,0.4611255327906109,0.025740271343310306,1.6967064772108826
tune3_beta0.8_tau0.8_lyap,,,,0.6304919374066049,0.03498476961778163,0.7625186722793298
tune3_beta0.8_tau1.0_lyap,,,,0.6306025424923316,0.03437600040558615,0.7191351421532108
dtg_adapt,,,,1.1361032708492689,0.0022105285928298414,1.6321668710241777
